region_code,car_count,non_car_count,total_count,car_ratio
11010,18,83,101,0.1782178217821782
11020,19,39,58,0.3275862068965517
11030,11,20,31,0.3548387096774194
11040,5,13,18,0.2777777777777778
11050,2,18,20,0.1
11060,6,3,9,0.6666666666666666
11070,0,3,3,0.0
11090,3,4,7,0.42857142857142855
11100,3,10,13,0.23076923076923078
11110,4,6,10,0.4
11120,4,5,9,0.4444444444444444
11130,0,5,5,0.0
11140,5,42,47,0.10638297872340426
11150,0,2,2,0.0
11160,5,7,12,0.4166666666666667
11170,0,5,5,0.0
11180,2,2,4,0.5
11190,6,25,31,0.1935483870967742
11200,0,5,5,0.0
11210,7,8,15,0.4666666666666667
11220,4,17,21,0.19047619047619047
11230,23,60,83,0.27710843373493976
11240,11,39,50,0.22
11250,0,3,3,0.0
21010,38,22,60,0.6333333333333333
21020,24,25,49,0.4897959183673469
21030,4,6,10,0.4
21040,28,17,45,0.6222222222222222
21050,16,14,30,0.5333333333333333
21060,8,2,10,0.8
21070,9,6,15,0.6
21080,0,2,2,0.0
21090,147,94,241,0.6099585062240664
21100,5,8,13,0.38461538461538464
21110,3,6,9,0.3333333333333333
21120,3,0,3,1.0
21130,0,1,1,0.0
21140,38,31,69,0.5507246376811594
21150,3,1,4,0.75
21310,45,21,66,0.6818181818181818
22010,51,29,80,0.6375
22020,29,9,38,0.7631578947368421
22040,3,2,5,0.6
22050,4,1,5,0.8
22060,19,1,20,0.95
22070,12,5,17,0.7058823529411765
22310,7,0,7,1.0
23010,46,12,58,0.7931034482758621
23030,0,1,1,0.0
23040,16,2,18,0.8888888888888888
23050,16,0,16,1.0
23060,3,5,8,0.375
23080,7,4,11,0.6363636363636364
23310,79,6,85,0.9294117647058824
23320,4,0,4,1.0
24010,57,6,63,0.9047619047619048
24020,12,2,14,0.8571428571428571
24030,6,1,7,0.8571428571428571
24040,12,3,15,0.8
24050,3,1,4,0.75
25010,13,4,17,0.7647058823529411
25020,14,10,24,0.5833333333333334
25030,17,6,23,0.7391304347826086
25040,41,15,56,0.7321428571428571
25050,11,2,13,0.8461538461538461
26010,16,3,19,0.8421052631578947
26020,14,7,21,0.6666666666666666
26030,13,4,17,0.7647058823529411
26040,3,2,5,0.6
26310,25,10,35,0.7142857142857143
29010,16,19,35,0.45714285714285713
31010,60,36,96,0.625
31020,17,10,27,0.6296296296296297
31030,9,16,25,0.36
31040,1,7,8,0.125
31050,2,6,8,0.25
31060,0,4,4,0.0
31070,10,7,17,0.5882352941176471
31080,6,3,9,0.6666666666666666
31090,18,7,25,0.72
31100,25,11,36,0.6944444444444444
31110,7,9,16,0.4375
31120,3,5,8,0.375
31130,19,4,23,0.8260869565217391
31140,2,3,5,0.4
31150,11,7,18,0.6111111111111112
31160,2,0,2,1.0
31170,10,0,10,1.0
31180,10,1,11,0.9090909090909091
31190,36,17,53,0.6792452830188679
31200,66,10,76,0.868421052631579
31210,14,2,16,0.875
31220,19,1,20,0.95
31230,23,6,29,0.7931034482758621
31240,75,10,85,0.8823529411764706
31250,27,6,33,0.8181818181818182
31260,19,4,23,0.8260869565217391
31270,73,8,81,0.9012345679012346
31280,25,4,29,0.8620689655172413
31350,17,3,20,0.85
31370,182,22,204,0.8921568627450981
31380,94,7,101,0.9306930693069307
32010,98,27,125,0.784
32020,61,18,79,0.7721518987341772
32030,311,101,412,0.7548543689320388
32040,67,11,78,0.8589743589743589
32050,22,3,25,0.88
32060,247,43,290,0.8517241379310345
32070,58,12,70,0.8285714285714286
32310,40,5,45,0.8888888888888888
32320,10,2,12,0.8333333333333334
32330,25,3,28,0.8928571428571429
32340,33,7,40,0.825
32350,29,6,35,0.8285714285714286
32360,16,22,38,0.42105263157894735
32370,3,1,4,0.75
32380,3,0,3,1.0
32390,19,9,28,0.6785714285714286
32400,29,1,30,0.9666666666666667
32410,95,12,107,0.8878504672897196
33020,49,3,52,0.9423076923076923
33030,51,20,71,0.7183098591549296
33040,35,12,47,0.7446808510638298
33320,19,16,35,0.5428571428571428
33330,15,1,16,0.9375
33340,6,2,8,0.75
33350,11,5,16,0.6875
33360,23,4,27,0.8518518518518519
33370,6,0,6,1.0
33380,148,15,163,0.9079754601226994
33390,7,0,7,1.0
34010,23,10,33,0.696969696969697
34020,118,22,140,0.8428571428571429
34030,189,17,206,0.9174757281553398
34040,41,12,53,0.7735849056603774
34050,29,1,30,0.9666666666666667
34060,42,5,47,0.8936170212765957
34070,3,1,4,0.75
34080,43,2,45,0.9555555555555556
34310,31,4,35,0.8857142857142857
34330,49,5,54,0.9074074074074074
34340,65,7,72,0.9027777777777778
34350,9,3,12,0.75
34360,4,1,5,0.8
34370,34,1,35,0.9714285714285714
34380,108,23,131,0.8244274809160306
35010,101,23,124,0.8145161290322581
35020,95,18,113,0.8407079646017699
35030,9,0,9,1.0
35040,30,3,33,0.9090909090909091
35050,29,11,40,0.725
35060,5,0,5,1.0
35310,12,10,22,0.5454545454545454
35320,6,2,8,0.75
35330,48,8,56,0.8571428571428571
35340,1,0,1,1.0
35350,16,0,16,1.0
35360,10,5,15,0.6666666666666666
35370,48,4,52,0.9230769230769231
35380,70,9,79,0.8860759493670886
36010,43,11,54,0.7962962962962963
36020,275,96,371,0.7412398921832885
36030,104,42,146,0.7123287671232876
36040,9,13,22,0.4090909090909091
36060,9,5,14,0.6428571428571429
36310,149,5,154,0.9675324675324676
36320,51,8,59,0.864406779661017
36330,48,19,67,0.7164179104477612
36350,11,5,16,0.6875
36360,22,4,26,0.8461538461538461
36370,12,1,13,0.9230769230769231
36380,1,1,2,0.5
36390,10,14,24,0.4166666666666667
36400,9,6,15,0.6
36410,4,0,4,1.0
36420,6,6,12,0.5
36430,4,1,5,0.8
36440,8,2,10,0.8
36450,56,0,56,1.0
36460,15,24,39,0.38461538461538464
36470,41,2,43,0.9534883720930233
36480,19,8,27,0.7037037037037037
37010,153,58,211,0.7251184834123223
37020,356,67,423,0.8416075650118203
37030,12,0,12,1.0
37040,62,13,75,0.8266666666666667
37050,19,6,25,0.76
37060,27,7,34,0.7941176470588235
37070,8,6,14,0.5714285714285714
37080,9,1,10,0.9
37090,48,4,52,0.9230769230769231
37100,11,5,16,0.6875
37310,10,1,11,0.9090909090909091
37320,9,1,10,0.9
37330,30,6,36,0.8333333333333334
37340,5,0,5,1.0
37350,120,13,133,0.9022556390977443
37360,34,0,34,1.0
37370,1,0,1,1.0
37380,5,1,6,0.8333333333333334
37390,2,2,4,0.5
37400,5,1,6,0.8333333333333334
37410,13,4,17,0.7647058823529411
37420,60,8,68,0.8823529411764706
37430,15,44,59,0.2542372881355932
38030,35,15,50,0.7
38050,104,45,149,0.697986577181208
38060,29,7,36,0.8055555555555556
38070,5,14,19,0.2631578947368421
38080,51,7,58,0.8793103448275862
38090,93,32,125,0.744
38100,23,5,28,0.8214285714285714
38110,25,13,38,0.6578947368421053
38310,0,1,1,0.0
38320,8,0,8,1.0
38330,7,2,9,0.7777777777777778
38340,16,1,17,0.9411764705882353
38350,101,11,112,0.9017857142857143
38360,60,7,67,0.8955223880597015
38370,21,2,23,0.9130434782608695
38380,15,2,17,0.8823529411764706
38390,19,2,21,0.9047619047619048
38400,18,3,21,0.8571428571428571
39010,93,939,1032,0.09011627906976744
39020,118,888,1006,0.1172962226640159
