방문 지역,예측 소비액,시나리오 예측 소비액,소비액 차이
11010,162469.06,173182.19,10713.130000000005
11020,232245.72,237427.23,5181.510000000009
11030,212194.56,210993.1,-1201.4599999999919
11040,112073.04,109135.03,-2938.0099999999948
11050,153069.95,157944.61,4874.659999999974
11060,140580.19,143601.11,3020.9199999999837
11070,177989.95,189371.12,11381.169999999984
11100,43472.707,44603.508,1130.8009999999995
11110,185933.56,170858.25,-15075.309999999998
11120,101820.57,105115.47,3294.899999999994
11130,271743.9,260322.86,-11421.040000000037
11140,145059.72,151818.5,6758.779999999999
11150,436939.22,434246.94,-2692.2799999999697
11160,169239.78,172277.0,3037.220000000001
11170,148251.27,149587.67,1336.4000000000233
11180,146310.16,148869.4,2559.2399999999907
11190,217190.38,219351.9,2161.5199999999895
11200,60996.785,60820.14,-176.64500000000407
11210,183210.9,184800.23,1589.3300000000163
11220,189157.94,187270.92,-1887.0199999999895
11230,197167.03,189176.89,-7990.139999999985
11240,179640.7,181129.61,1488.9099999999744
11250,238066.17,237863.73,-202.44000000000233
21010,311386.75,308323.88,-3062.8699999999953
21020,236982.27,241865.69,4883.420000000013
21030,258643.33,268182.53,9539.20000000004
21040,220906.66,227709.58,6802.919999999984
21050,279561.8,284683.66,5121.859999999986
21060,182616.92,177599.8,-5017.120000000024
21070,275900.62,272567.7,-3332.9199999999837
21080,80378.21,84467.05,4088.8399999999965
21090,278418.78,278675.4,256.61999999999534
21100,253069.75,253816.86,747.109999999986
21110,198998.28,206460.5,7462.220000000001
21120,93402.31,98603.66,5201.350000000006
21130,47636.777,49076.363,1439.5859999999957
21140,257583.88,257975.98,392.1000000000058
21150,120078.984,122781.9,2702.9159999999974
21310,282672.75,276987.34,-5685.409999999974
22010,190141.12,195190.42,5049.3000000000175
22020,157737.17,161607.23,3870.0599999999977
22040,230393.75,225438.61,-4955.140000000014
22050,138441.86,141640.62,3198.7600000000093
22060,152534.27,166587.03,14052.76000000001
22070,169200.73,166656.95,-2543.779999999999
22310,76922.85,80021.94,3099.0899999999965
23010,97766.625,97904.625,138.0
23030,54281.777,48992.188,-5289.589
23040,132727.58,127926.766,-4800.813999999984
23050,106327.37,111081.2,4753.830000000002
23060,56754.91,54363.89,-2391.020000000004
23080,123064.07,129039.23,5975.159999999989
23310,125217.07,124896.01,-321.0600000000122
23320,81400.34,87148.016,5747.676000000007
24010,149030.34,155378.78,6348.440000000002
24020,112673.93,111060.66,-1613.2699999999895
24030,307775.4,282952.44,-24822.96000000002
24040,152524.38,150255.52,-2268.860000000015
24050,218988.62,220097.88,1109.2600000000093
25010,147577.27,150096.4,2519.1300000000047
25020,122861.31,120991.47,-1869.8399999999965
25030,165420.42,164346.12,-1074.3000000000175
25040,192781.94,193432.94,651.0
25050,96738.8,104560.07,7821.270000000004
26010,141078.86,147389.36,6310.5
26020,102755.195,106285.6,3530.404999999999
26030,106061.83,109754.81,3692.979999999996
26040,116693.15,117088.11,394.9600000000064
26310,102681.43,100990.42,-1691.0099999999948
29010,88198.34,87514.734,-683.6059999999998
31010,81613.95,83014.47,1400.520000000004
31020,77715.16,76866.82,-848.3399999999965
31030,332515.94,342147.12,9631.179999999993
31040,87017.55,93838.83,6821.279999999999
31050,279819.47,275558.5,-4260.969999999972
31060,168526.61,161274.38,-7252.229999999981
31070,117202.51,119670.39,2467.8800000000047
31080,58390.133,58348.438,-41.69499999999971
31090,112929.97,109991.414,-2938.555999999997
31100,190599.72,187442.45,-3157.2699999999895
31110,72718.13,76080.12,3361.9899999999907
31120,125690.375,117500.43,-8189.945000000007
31130,66479.75,65467.1,-1012.6500000000015
31140,73458.8,77668.92,4210.119999999995
31150,66478.92,64772.227,-1706.6929999999993
31160,103572.58,102720.41,-852.1699999999983
31170,61663.094,61906.86,243.76600000000326
31180,84731.12,86324.805,1593.6849999999977
31190,155300.27,157331.98,2031.710000000021
31200,143436.19,142213.7,-1222.4899999999907
31210,153328.4,154208.42,880.0200000000186
31220,117781.47,117535.06,-246.4100000000035
31230,146502.12,148761.4,2259.279999999999
31240,98006.92,96556.484,-1450.4360000000015
31250,116617.83,118219.01,1601.179999999993
31260,64813.875,67435.086,2621.2109999999957
31270,93571.36,96768.7,3197.3399999999965
31280,208140.14,211701.16,3561.0199999999895
31350,67154.055,64922.94,-2231.1149999999907
31370,142207.33,141133.62,-1073.7099999999919
31380,81245.23,85382.0,4136.770000000004
32010,147699.06,144554.0,-3145.0599999999977
32020,163324.12,165060.66,1736.5400000000081
32030,251011.27,249463.66,-1547.609999999986
32040,183556.47,177079.23,-6477.239999999991
32050,138767.3,136305.0,-2462.2999999999884
32060,271048.94,277098.8,6049.859999999986
32070,237641.77,241286.5,3644.7300000000105
32310,153270.8,149725.69,-3545.109999999986
32320,75165.28,79405.94,4240.6600000000035
32330,126914.28,127870.414,956.1340000000055
32340,249215.17,253100.16,3884.9899999999907
32350,183229.77,182638.17,-591.5999999999767
32360,103645.99,101020.58,-2625.4100000000035
32370,124463.555,116825.21,-7638.344999999987
32380,139599.83,140581.92,982.0900000000256
32390,208140.14,211614.56,3474.4199999999837
32400,212711.42,211268.94,-1442.4800000000105
32410,263102.0,263168.75,66.75
33020,143049.58,141072.0,-1977.5799999999872
33030,200867.03,203892.72,3025.6900000000023
33040,182057.69,184920.11,2862.4199999999837
33320,127998.52,124902.2,-3096.320000000007
33330,71044.5,70000.03,-1044.4700000000012
33340,125474.32,122197.94,-3276.3800000000047
33350,158387.02,162246.1,3859.0800000000163
33360,137120.27,136790.08,-330.1900000000023
33370,132779.73,137598.66,4818.929999999993
33380,195058.11,193495.12,-1562.9899999999907
33390,61705.684,63785.89,2080.2059999999983
34010,146187.27,136962.64,-9224.629999999976
34020,111570.75,110507.875,-1062.875
34030,149318.0,143927.56,-5390.440000000002
34040,131081.19,134483.1,3401.9100000000035
34050,148313.48,148885.45,571.9700000000012
34060,126223.72,130457.26,4233.539999999994
34070,63479.004,59822.285,-3656.7189999999973
34080,120741.914,118242.57,-2499.3439999999973
34310,107897.51,106412.08,-1485.429999999993
34330,122025.0,120322.234,-1702.7660000000033
34340,118666.086,118273.25,-392.8359999999957
34350,114272.6,113606.18,-666.4200000000128
34360,80446.62,85469.33,5022.710000000006
34370,106607.2,106966.39,359.1900000000023
34380,199073.83,197314.69,-1759.1399999999849
35010,167666.72,169568.56,1901.8399999999965
35020,153028.64,150973.0,-2055.640000000014
35030,166364.77,164022.78,-2341.9899999999907
35040,104764.29,105047.73,283.4400000000023
35050,154568.56,157074.56,2506.0
35060,92908.19,95679.52,2771.3300000000017
35310,139577.98,140839.84,1261.859999999986
35320,125274.164,121152.195,-4121.968999999997
35330,130606.266,132505.11,1898.8439999999828
35340,138040.42,140965.36,2924.939999999973
35350,98453.02,98105.86,-347.1600000000035
35360,110218.65,107043.03,-3175.6199999999953
35370,126399.71,125497.53,-902.1800000000076
35380,182661.52,184987.5,2325.9800000000105
36010,154020.16,153012.88,-1007.2799999999988
36020,253728.52,242365.36,-11363.160000000003
36030,164312.11,169269.48,4957.370000000024
36040,137388.86,139498.81,2109.9500000000116
36060,237373.81,248035.8,10661.98999999999
36310,111079.93,111093.7,13.770000000004075
36320,92509.96,86051.01,-6458.950000000012
36330,124461.66,123303.02,-1158.6399999999994
36350,177373.16,186521.44,9148.279999999999
36360,151311.44,150829.8,-481.64000000001397
36370,80070.57,78986.15,-1084.4200000000128
36390,176226.28,168392.14,-7834.139999999985
36400,171646.92,180811.36,9164.439999999973
36410,53670.09,51023.984,-2646.1059999999998
36420,248205.92,243799.4,-4406.520000000019
36430,112871.07,111450.8,-1420.270000000004
36440,151763.78,159545.27,7781.489999999991
36450,85953.57,84406.49,-1547.0800000000017
36460,236134.47,237988.77,1854.2999999999884
36470,256289.84,264062.25,7772.4100000000035
36480,207769.47,212530.95,4761.4800000000105
37010,144423.66,143312.16,-1111.5
37020,243773.38,243273.36,-500.0200000000186
37030,94428.55,96907.59,2479.0399999999936
37040,115735.68,121457.03,5721.350000000006
37050,115033.41,115662.19,628.7799999999988
37060,64706.348,66695.79,1989.4419999999955
37070,103331.25,103649.55,318.3000000000029
37080,90898.266,93357.43,2459.1639999999898
37090,122349.414,123284.086,934.6719999999914
37100,58709.19,55021.62,-3687.5699999999997
37310,99026.59,99031.22,4.630000000004657
37320,83035.766,89084.445,6048.679000000004
37330,69845.055,69271.12,-573.9349999999977
37350,110600.98,109242.5,-1358.479999999996
37360,54653.703,60703.258,6049.555
37370,68690.3,75502.59,6812.289999999994
37380,80380.51,87261.375,6880.865000000005
37390,86079.734,80265.68,-5814.054000000004
37400,66482.34,68324.484,1842.1440000000002
37410,73875.69,70574.49,-3301.199999999997
37420,169567.75,169634.39,66.64000000001397
37430,564703.94,560632.75,-4071.189999999944
38030,116186.445,118667.11,2480.6649999999936
38050,205857.31,212242.92,6385.610000000015
38060,170598.72,167309.72,-3289.0
38070,162201.55,154040.86,-8160.690000000002
38080,114546.91,113996.89,-550.0200000000041
38090,199950.22,194941.69,-5008.529999999999
38100,105938.9,106226.42,287.5200000000041
38110,125979.35,125186.5,-792.8500000000058
38310,91164.0,81888.46,-9275.539999999994
38320,81147.27,79915.09,-1232.1800000000076
38330,93590.19,95661.734,2071.5439999999944
38340,214661.25,221801.08,7139.829999999987
38350,200482.56,207391.75,6909.190000000002
38360,192755.64,194477.66,1722.0199999999895
38370,98522.72,98907.39,384.66999999999825
38380,108514.81,109181.875,667.0650000000023
38390,101079.66,100538.67,-540.9900000000052
38400,81778.97,79520.22,-2258.75
39010,595610.1,577720.2,-17889.900000000023
39020,596248.4,574078.3,-22170.099999999977
합계,33674837.776,33745905.598000005,71067.82200000013
